"theta","se","time","method","n","truth"
35.116379299061,2.15074206276308,0.251999999999995,"emm",400,38.38912
36.4283417422174,1.6470399536915,0.358999999999995,"iid",400,38.38912
37.6780963258787,1.50779569016391,0.266000000000005,"emm",400,38.38912
37.2343815249631,1.05649845281883,0.366,"iid",400,38.38912
37.2616754818886,1.45261052392241,0.277000000000001,"emm",400,38.38912
37.7160041541663,1.03164783678296,0.359999999999999,"iid",400,38.38912
38.0016937930445,1.58037385805574,0.266000000000005,"emm",400,38.38912
38.4185039651368,1.36462185079038,0.364999999999995,"iid",400,38.38912
39.1610004472416,2.40283587477754,0.25,"emm",400,38.38912
38.2653077745824,1.11007848030167,0.371000000000009,"iid",400,38.38912
33.5736563652307,1.7189059999911,0.25,"emm",400,38.38912
35.8733421981864,1.38545566353904,0.352000000000004,"iid",400,38.38912
41.3306739059259,4.01936460051047,0.263999999999996,"emm",400,38.38912
38.5122895822127,1.03646588807081,0.356999999999999,"iid",400,38.38912
36.3433425200885,2.06420680941826,0.266000000000005,"emm",400,38.38912
38.1819282618593,1.1747719853133,0.347999999999999,"iid",400,38.38912
44.4607093197883,4.231889896653,0.266000000000005,"emm",400,38.38912
40.9904085991341,1.80977300769728,0.358000000000004,"iid",400,38.38912
36.3280729929402,2.94063625773127,0.254999999999995,"emm",400,38.38912
37.4792406545911,0.981255091986532,0.375999999999991,"iid",400,38.38912
36.7633908485439,2.43580594164102,0.248999999999995,"emm",400,38.38912
36.960370185347,1.05136441811986,0.359999999999999,"iid",400,38.38912
29.1400645858402,3.45745330827489,0.251000000000005,"emm",400,38.38912
36.5629107927555,1.31745569423847,0.358999999999995,"iid",400,38.38912
26.559073293588,4.20810991979187,0.266999999999996,"emm",400,38.38912
38.1674549441145,1.10219317017389,0.359000000000009,"iid",400,38.38912
37.1631662217738,2.03280822734563,0.256,"emm",400,38.38912
38.8466242796172,1.07512195264325,0.36699999999999,"iid",400,38.38912
44.3942602236825,4.20606678830053,0.260000000000005,"emm",400,38.38912
37.8059762251526,1.30697664912533,0.374000000000009,"iid",400,38.38912
37.4806614312653,3.46815726111535,0.25800000000001,"emm",400,38.38912
38.0904898308918,1.10253363926374,0.366,"iid",400,38.38912
36.1716631857386,2.28984200943961,0.242000000000004,"emm",400,38.38912
36.9158968599756,1.08378636324746,0.349999999999994,"iid",400,38.38912
38.3734799110789,2.97764089779449,0.248000000000005,"emm",400,38.38912
38.1622241585771,1.0177494803,0.375999999999991,"iid",400,38.38912
38.8317856500022,1.40852639541228,0.269999999999996,"emm",400,38.38912
38.0155117646287,1.13872932930373,0.362000000000009,"iid",400,38.38912
40.6246382037227,2.71460693515827,0.251000000000005,"emm",400,38.38912
38.1902447709103,1.11786955193674,0.375,"iid",400,38.38912
35.4403204929822,3.00051228136799,0.260000000000005,"emm",400,38.38912
38.7044421953358,1.13897233329747,0.375,"iid",400,38.38912
40.1083809375315,2.37641834399928,0.256,"emm",400,38.38912
37.6057584864647,1.05937433593423,0.363,"iid",400,38.38912
39.6925087633915,2.11641363657829,0.256999999999991,"emm",400,38.38912
37.6469114154876,1.94419652990514,0.369,"iid",400,38.38912
38.0096551930075,1.7817312270016,0.257999999999996,"emm",400,38.38912
37.8940095268543,1.161574669243,0.352999999999994,"iid",400,38.38912
36.286710916945,2.22726946852524,0.254999999999995,"emm",400,38.38912
38.0650252342477,0.993055222882632,0.372,"iid",400,38.38912
41.4638427034347,2.74783898897384,0.25,"emm",400,38.38912
37.8868932743402,1.17323083654234,0.370000000000005,"iid",400,38.38912
30.8848279912339,4.46099502870059,0.253,"emm",400,38.38912
38.9834454393407,1.07339351158556,0.359999999999999,"iid",400,38.38912
39.138598407762,2.730105806801,0.253,"emm",400,38.38912
39.6597524137339,1.12713073748496,0.358999999999995,"iid",400,38.38912
40.5438147430528,1.89347170210239,0.259,"emm",400,38.38912
41.192548569535,1.4234984858283,0.361999999999995,"iid",400,38.38912
37.9047239042402,2.66762696282534,0.251000000000005,"emm",400,38.38912
